,customer_gender,customer_height,customer_weight,customer_size,major,sub,link,product_star,product_sales
656,1.0,164.0,50.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/2551406,4.8,100.0
657,1.0,163.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
658,1.0,163.0,51.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
659,1.0,154.0,44.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
660,1.0,153.0,50.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
661,1.0,153.0,46.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/2063237,4.8,200.0
662,1.0,158.0,48.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
663,1.0,163.0,62.0,3.0,skirt,midi,https://www.musinsa.com/app/goods/2300718,4.8,200.0
664,1.0,158.0,48.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1645762,4.8,500.0
665,1.0,163.0,49.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
666,1.0,169.0,53.0,3.0,skirt,midi,https://www.musinsa.com/app/goods/1980169,4.6,200.0
667,1.0,161.0,56.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1645762,4.8,500.0
668,1.0,160.0,50.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1645762,4.8,500.0
669,1.0,172.0,53.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1980169,4.6,200.0
670,1.0,170.0,65.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
671,0.0,170.0,72.0,0.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
672,1.0,164.0,60.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
673,1.0,169.0,57.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
674,1.0,164.0,57.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
675,1.0,162.0,65.0,3.0,skirt,midi,https://www.musinsa.com/app/goods/1659998,4.6,300.0
676,1.0,158.0,45.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
677,1.0,165.0,49.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
678,1.0,152.0,54.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
679,1.0,163.0,49.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
680,1.0,166.0,50.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
681,1.0,155.0,48.0,0.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
682,1.0,160.0,43.0,0.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
